Date,Source,Headline,Brand,Sentiment,Sentiment_Score
2023-08-17T18:23:00Z,Retail TouchPoints,Gucci Launches Digital Flagship Store on JD.com,Gucci,POSITIVE,0.9768975973129272
2023-08-17T02:00:00Z,PR Newswire,Gucci and JD.com Announce Digital Partnership and Launch of ...,Gucci,POSITIVE,0.9987096786499023
2023-08-17T04:16:02Z,Inside Retail Asia,Gucci launches flagship store on JD platform,Gucci,POSITIVE,0.9578508734703064
2023-08-16T15:52:13Z,Forbes,"Brands Like OBEY And Gucci Confront A New, Shifting Post-Covid Normal",Gucci,POSITIVE,0.9348084926605225
2023-08-17T17:12:16Z,FOX 11 Los Angeles,'Flash mob' robs Costa Mesa Gucci store of $100K in merch,Gucci,NEGATIVE,-0.9993700385093689
2023-08-17T20:46:24Z,Whiskey Riff,Gucci Mane Looks To Venture Into Country Music After Discovering ...,Gucci,NEGATIVE,-0.9077277183532715
2023-08-17T20:00:00Z,Toronto Star,Canada’s coolest supermodel Daria Werbowy disappeared from the industry in 2016. She’s set for a thrilling return at 39,Gucci,POSITIVE,0.9993335604667664
2023-08-17T07:39:05Z,Marketscreener.com,"JD.com, Gucci Enter Digital Partnership, to Open Gucci Digital Flagship Store",Gucci,POSITIVE,0.9855111837387085
2023-08-11T23:00:28Z,Hollywood Reporter,"Fall’s Must-Have Designer Bags: Gucci’s Tom Ford-Era Horsebit Clutch Returns, Prada Goes Trapezoid",Gucci,POSITIVE,0.9748060703277588
2023-08-16T09:00:00Z,Wallpaper*,"Inside Gucci ArtLab, the house's vibrant hub for innovation and craft",Gucci,POSITIVE,0.9997164607048035
2023-07-19T07:00:00Z,Reuters,No quick fix for Gucci as investors cheer management overhaul,Gucci,NEGATIVE,-0.9990772008895874
2023-08-16T00:52:00Z,Fox News,"Texas police discover over $650K worth of counterfeit Gucci, Chanel items in major bust",Gucci,NEGATIVE,-0.993776798248291
2023-08-04T07:00:00Z,The Wall Street Journal,Gucci Works Its Socks Off to Be Cool Again,Gucci,POSITIVE,0.9635912179946899
2023-08-17T12:49:00Z,DNA India,"Nita Ambani steps out in Gucci co-ord set worth Rs 2.8 lakh, footwear priced at Rs 7 lakh",Gucci,NEGATIVE,-0.82044917345047
2023-07-27T07:00:00Z,The Globe and Mail,Kering buys 30 per cent of Italy's Valentino as Gucci sales lag,Gucci,NEGATIVE,-0.9985877275466919
2023-08-05T07:00:00Z,The Guardian,"‘Hermès smells soft and smoky, Gucci more like wood’: how fake-hunters tell designer knock-offs from the real deal",Gucci,POSITIVE,0.8666687607765198
2023-07-27T07:00:00Z,Reuters,Kering Q2 sales miss expectations as Gucci weighs,Gucci,NEGATIVE,-0.9932443499565125
2023-08-03T07:00:00Z,Robb Report,9 Thieves Robbed a Gucci Storefront in L.A. in Broad Daylight,Gucci,NEGATIVE,-0.9930660724639893
2023-07-21T07:00:00Z,Vogue Business,Gucci is rewarding NFT holders with physical pieces,Gucci,POSITIVE,0.9998668432235718
2023-08-01T07:00:00Z,WWD,Gucci Opening at The Grove Shopping Center,Gucci,POSITIVE,0.990689754486084
2023-07-28T07:00:00Z,WWD,"Gucci, Tom Ford, Bally: Debuts at Milan Fashion Week in September ...",Gucci,POSITIVE,0.9975321292877197
2023-07-24T07:00:00Z,WWD,"Next Stop for Gucci Cosmos, London's Show Schedule, Barbie Gets ...",Gucci,NEGATIVE,-0.7267895340919495
